business_id,company_name,business_ref_code,account_manager,business_group,business_unit,account_motion
80348,ISHKAI (SINGAPORE) PTE. LTD.,SGSSHF,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
97224,ISHTAR HEALTH PTE. LTD.,SGSHU7,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
83560,IZANAGI PTE. LTD.,SGZAPG,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
125604,J&J FOOD INGREDIENT PTE. LTD.,SGDJCQ,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
115379,JHU COMMERCE HOLDING PTE. LTD.,SGJHCY,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
84773,JOIN BRANDS PTE. LTD.,SGBRP3,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
114433,JOINTANDJOYCO PTE. LTD.,SGJNP9,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
110929,JTG CORPORATION PTE. LTD.,SGJTGC,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
69279,JVYUAN INTERNATIONAL PTE. LTD.,SGJVYN,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
62976,JX SOLUTIONS PTE. LTD.,SGJXEP,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
114867,KAEDE PTE. LTD.,SGE6W2,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
117503,KAIN SUITE PTE. LTD.,SGKASE,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
126651,KALEI SG PTE. LTD.,SGKSFP,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
175733,KEAWORLD LLC,USKEAL,SG AM-Rachel,AFT US LLC,AspireBA,Key
122318,KEAWORLD PTE. LTD. [EUR],SGNJTY,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
121642,KEAWORLD PTE. LTD. [GBP],SGKPBY,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
